,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
9,Chino Valley,10981.0,77.0,2.0,3.0,1.0,71.0,219.0,45.0,162.0,12.0,2012,
13,Cottonwood,11434.0,51.0,0.0,0.0,7.0,44.0,411.0,37.0,357.0,17.0,2012,14.0
16,El Mirage,32685.0,86.0,3.0,7.0,18.0,58.0,946.0,292.0,582.0,72.0,2012,3.0
17,Eloy,17149.0,84.0,1.0,7.0,9.0,67.0,569.0,179.0,358.0,32.0,2012,22.0
18,Flagstaff,66633.0,262.0,0.0,28.0,45.0,189.0,2834.0,242.0,2533.0,59.0,2012,23.0
19,Florence,25795.0,29.0,0.0,0.0,1.0,28.0,224.0,47.0,169.0,8.0,2012,0.0
21,Gilbert,214264.0,205.0,5.0,19.0,59.0,122.0,3386.0,726.0,2496.0,164.0,2012,25.0
22,Glendale,232997.0,1145.0,12.0,54.0,413.0,666.0,14934.0,2847.0,10863.0,1224.0,2012,78.0
23,Goodyear,67033.0,103.0,0.0,12.0,24.0,67.0,1774.0,479.0,1188.0,107.0,2012,13.0
26,Kingman,28588.0,93.0,0.0,9.0,8.0,76.0,1775.0,406.0,1269.0,100.0,2012,4.0
27,Lake Havasu City,53513.0,58.0,2.0,10.0,7.0,39.0,1356.0,256.0,1012.0,88.0,2012,4.0
29,Marana,35617.0,35.0,0.0,0.0,13.0,22.0,1157.0,126.0,936.0,95.0,2012,2.0
31,Mesa,451391.0,1804.0,14.0,172.0,469.0,1149.0,14140.0,2681.0,10572.0,887.0,2012,97.0
33,Nogales,21177.0,45.0,1.0,0.0,10.0,34.0,497.0,75.0,375.0,47.0,2012,0.0
34,Oro Valley,41786.0,21.0,1.0,4.0,3.0,13.0,679.0,95.0,553.0,31.0,2012,2.0
36,Paradise Valley,13177.0,9.0,2.0,3.0,0.0,4.0,256.0,129.0,119.0,8.0,2012,1.0
38,Payson,15337.0,48.0,1.0,0.0,7.0,40.0,421.0,134.0,270.0,17.0,2012,1.0
