,City,Year,Total Population,Total Population Male,Total Population Female,Agg Travel to Wrk(min),Agg Travel to Wrk(min):Less than 10 min,Agg Travel to Wrk(min):10 to 14 min,Agg Travel to Wrk(min):15 to 19 min,Agg Travel to Wrk(min):20 to 24 min,Agg Travel to Wrk(min):25 to 29 min,Agg Travel to Wrk(min):30 to 34 min,Agg Travel to Wrk(min):35 to 44 min,Agg Travel to Wrk(min):45 to 59 min,Agg Travel to Wrk(min):60 or more min,Agg Travel to Wrk(min) Mode :Total,Agg Travel to Wrk(min) Mode :Car,Agg Travel to Wrk(min) Mode :Car alone,Agg Travel to Wrk(min) Mode :Car Carpool,Agg Travel to Wrk(min) Mode :Car Carpool 2P,Agg Travel to Wrk(min) Mode :Car Carpool 3P+,Agg Travel to Wrk(min) Mode :Pub Tran !=cab,Agg Travel to Wrk(min) Mode :Pub Tran !=cab Bus or trolley,"Agg Travel to Wrk(min) Mode :Pub Tran !=cab St/trolly car subway, elevated",Agg Travel to Wrk(min) Mode :Pub Tran !=cab RR ferry,Agg Travel to Wrk(min) Mode :Walked,"Agg Travel to Wrk(min) Mode :Taxicab, motor/bicycle, other",Pov Stat :Total,Pov Stat :Male,Pov Stat :Female,Income/Poverty level :Total,Income/Poverty level :Under .50,Income/Poverty level :.50 to .74,Income/Poverty level :.75 to .99,Income/Poverty level :1.00 to 1.24,Income/Poverty level :1.25 to 1.49,Income/Poverty level :1.50 to 1.74,Income/Poverty level :1.75 to 1.84,Income/Poverty level :1.85 to 1.99,Income/Poverty level :2.00 to 2.99,Income/Poverty level :3.00 to 3.99,Income/Poverty level :4.00 to 4.99,Income/Poverty level :5.00 and over,HI cover: TOTAL,HI cover: Male,HI cover: Female,Priv HI cover: Total,Priv HI cover: Male,Priv HI cover: Female,Pub HI cover: Total,Pub HI cover: Male,Pub HI cover: Female,Employer HI cover: Total,Employer HI cover: Male,Employer HI cover: Female,Direct HI cover: Total,Direct HI cover: Male,Direct HI cover: Female,Medicaid/Means-det Pub HI cover: Total,Medicaid/Means-det Pub HI cover: Male,Medicaid/Means-det Pub HI cover: Female
20,Gilbert town,2012,221136.0,107354.0,113782.0,2660635.0,40490.0,100825.0,169470.0,367715.0,208070.0,445055.0,364610.0,434265.0,530125.0,,,,,,,,,,,,,220708.0,6614.0,8724.0,220708.0,7701.0,2299.0,5338.0,5343.0,2947.0,4702.0,3034.0,5428.0,41138.0,32837.0,32244.0,77697.0,220767.0,107025.0,113742.0,220767.0,107025.0,113742.0,220767.0,107025.0,113742.0,220767.0,107025.0,113742.0,220767.0,107025.0,113742.0,220767.0,107025.0,113742.0
21,Glendale city,2012,232118.0,114099.0,118019.0,2692385.0,50050.0,109385.0,233425.0,378305.0,224245.0,520585.0,280265.0,277285.0,618840.0,2692385.0,2432200.0,1927430.0,504775.0,311910.0,192865.0,193380.0,193380.0,,,23330.0,43475.0,228627.0,23001.0,28621.0,228627.0,21899.0,15327.0,14396.0,13129.0,13884.0,10758.0,4819.0,7006.0,41371.0,28987.0,17959.0,39092.0,229896.0,112394.0,117502.0,229896.0,112394.0,117502.0,229896.0,112394.0,117502.0,229896.0,112394.0,117502.0,229896.0,112394.0,117502.0,229896.0,112394.0,117502.0
22,Goodyear city,2012,69631.0,32540.0,37091.0,838145.0,11410.0,18715.0,47785.0,58840.0,45505.0,113340.0,118805.0,274900.0,148840.0,,,,,,,,,,,,,65058.0,2618.0,2109.0,65058.0,2155.0,576.0,1996.0,2174.0,4011.0,2679.0,746.0,1930.0,10191.0,9089.0,8503.0,21008.0,65360.0,31845.0,33515.0,65360.0,31845.0,33515.0,65360.0,31845.0,33515.0,65360.0,31845.0,33515.0,65360.0,31845.0,33515.0,65360.0,31845.0,33515.0
23,Mesa city,2012,452068.0,220768.0,231300.0,4641495.0,86940.0,245940.0,450175.0,573155.0,352815.0,992000.0,567945.0,539480.0,833050.0,4641495.0,4124235.0,3559840.0,564395.0,435315.0,129080.0,282720.0,253605.0,25875.0,3240.0,20955.0,213590.0,448007.0,37642.0,41045.0,448007.0,35162.0,23048.0,20477.0,22392.0,23896.0,26216.0,7890.0,14174.0,80398.0,64981.0,43241.0,86132.0,450416.0,220234.0,230182.0,450416.0,220234.0,230182.0,450416.0,220234.0,230182.0,450416.0,220234.0,230182.0,450416.0,220234.0,230182.0,450416.0,220234.0,230182.0
24,Peoria city,2012,159761.0,76732.0,83029.0,1882950.0,23940.0,81325.0,151485.0,192890.0,114580.0,371640.0,232095.0,335245.0,379755.0,1882950.0,1798025.0,1565565.0,232465.0,187600.0,44865.0,35390.0,35390.0,,,24620.0,24910.0,158340.0,6823.0,7473.0,158340.0,6576.0,2865.0,4855.0,6254.0,6451.0,5116.0,1910.0,4851.0,30496.0,23446.0,22675.0,42845.0,158766.0,76284.0,82482.0,158766.0,76284.0,82482.0,158766.0,76284.0,82482.0,158766.0,76284.0,82482.0,158766.0,76284.0,82482.0,158766.0,76284.0,82482.0
25,Phoenix city,2012,1488759.0,743172.0,745587.0,15220960.0,285955.0,826340.0,1545030.0,2250845.0,1135915.0,3507825.0,1565775.0,1819110.0,2284160.0,15220960.0,13509655.0,11530740.0,1978920.0,1451165.0,527750.0,1003175.0,961985.0,30080.0,11110.0,142050.0,566075.0,1472974.0,165894.0,188968.0,1472974.0,171319.0,92249.0,91294.0,91777.0,92497.0,86124.0,30292.0,42358.0,233268.0,160775.0,110123.0,270898.0,1479625.0,736349.0,743276.0,1479625.0,736349.0,743276.0,1479625.0,736349.0,743276.0,1479625.0,736349.0,743276.0,1479625.0,736349.0,743276.0,1479625.0,736349.0,743276.0
26,San Tan Valley CDP,2012,82760.0,41569.0,41191.0,1216365.0,5165.0,17425.0,32580.0,40980.0,60245.0,81900.0,238340.0,410205.0,329525.0,,,,,,,,,,,,,81867.0,5219.0,6486.0,81867.0,5955.0,4452.0,1298.0,2112.0,1502.0,3700.0,1248.0,6708.0,18177.0,16815.0,8536.0,11364.0,82760.0,41569.0,41191.0,82760.0,41569.0,41191.0,82760.0,41569.0,41191.0,82760.0,41569.0,41191.0,82760.0,41569.0,41191.0,82760.0,41569.0,41191.0
27,Scottsdale city,2012,223517.0,109243.0,114274.0,2261955.0,50900.0,162235.0,263225.0,326170.0,211300.0,548490.0,224275.0,200790.0,274570.0,,,,,,,,,,,,,222015.0,9402.0,11494.0,222015.0,10873.0,6098.0,3925.0,6417.0,3928.0,8900.0,4614.0,4698.0,25749.0,22764.0,20340.0,103709.0,222753.0,108994.0,113759.0,222753.0,108994.0,113759.0,222753.0,108994.0,113759.0,222753.0,108994.0,113759.0,222753.0,108994.0,113759.0,222753.0,108994.0,113759.0
28,Surprise city,2012,121276.0,61288.0,59988.0,1377295.0,19055.0,32690.0,56365.0,95570.0,83660.0,232470.0,177075.0,302960.0,377450.0,,,,,,,,,,,,,120402.0,5474.0,7646.0,120402.0,6536.0,2902.0,3682.0,3944.0,7740.0,5686.0,533.0,2386.0,22639.0,26313.0,15964.0,22077.0,120966.0,61040.0,59926.0,120966.0,61040.0,59926.0,120966.0,61040.0,59926.0,120966.0,61040.0,59926.0,120966.0,61040.0,59926.0,120966.0,61040.0,59926.0
29,Tempe city,2012,166862.0,87008.0,79854.0,1721180.0,41870.0,170380.0,225310.0,370475.0,133140.0,324720.0,117550.0,118035.0,219700.0,1721180.0,1404110.0,1274080.0,130035.0,100850.0,29185.0,165365.0,147785.0,17580.0,,30360.0,121345.0,156497.0,18617.0,18309.0,156497.0,24529.0,6618.0,5779.0,4580.0,9837.0,4956.0,1393.0,2992.0,26991.0,20104.0,17444.0,31274.0,166544.0,86877.0,79667.0,166544.0,86877.0,79667.0,166544.0,86877.0,79667.0,166544.0,86877.0,79667.0,166544.0,86877.0,79667.0,166544.0,86877.0,79667.0
30,Tucson city,2012,524278.0,260034.0,264244.0,4719240.0,130030.0,334020.0,658295.0,782890.0,395510.0,1023480.0,352320.0,337215.0,705475.0,4719240.0,4051215.0,3425385.0,625825.0,403965.0,221860.0,335045.0,329095.0,5950.0,,116810.0,216175.0,503764.0,62598.0,71899.0,503764.0,61540.0,34996.0,37961.0,36926.0,27505.0,34785.0,7938.0,14104.0,89719.0,53616.0,35659.0,69015.0,509489.0,247862.0,261627.0,509489.0,247862.0,261627.0,509489.0,247862.0,261627.0,509489.0,247862.0,261627.0,509489.0,247862.0,261627.0,509489.0,247862.0,261627.0
31,Yuma city,2012,95424.0,49685.0,45739.0,560770.0,46275.0,102335.0,105850.0,87260.0,22850.0,54060.0,33035.0,39060.0,70040.0,560770.0,509485.0,429695.0,79790.0,60740.0,19050.0,15075.0,15075.0,,,15140.0,21070.0,89025.0,8186.0,11099.0,89025.0,9728.0,2719.0,6838.0,4337.0,7620.0,6832.0,1817.0,3687.0,19392.0,9991.0,6576.0,9488.0,88404.0,43319.0,45085.0,88404.0,43319.0,45085.0,88404.0,43319.0,45085.0,88404.0,43319.0,45085.0,88404.0,43319.0,45085.0,88404.0,43319.0,45085.0
32,Avondale city,2013,78817.0,38195.0,40622.0,979995.0,14115.0,39380.0,57880.0,111000.0,60250.0,180420.0,82305.0,181290.0,253355.0,979995.0,922000.0,770160.0,151840.0,133710.0,18130.0,21485.0,21485.0,,,5745.0,30765.0,78654.0,7524.0,7493.0,78654.0,6864.0,3310.0,4843.0,2684.0,3816.0,4515.0,1070.0,3091.0,19869.0,10526.0,8613.0,9453.0,78466.0,37887.0,40579.0,78466.0,37887.0,40579.0,78466.0,37887.0,40579.0,78466.0,37887.0,40579.0,78466.0,37887.0,40579.0,78466.0,37887.0,40579.0
33,Casas Adobes CDP,2013,69653.0,34226.0,35427.0,687135.0,9665.0,39115.0,61760.0,106085.0,63350.0,162645.0,110325.0,100055.0,34140.0,,,,,,,,,,,,,68497.0,3492.0,5444.0,68497.0,6197.0,1518.0,1221.0,1649.0,5713.0,2321.0,1204.0,2205.0,13816.0,12027.0,6665.0,13961.0,68781.0,33663.0,35118.0,68781.0,33663.0,35118.0,68781.0,33663.0,35118.0,68781.0,33663.0,35118.0,68781.0,33663.0,35118.0,68781.0,33663.0,35118.0
34,Chandler city,2013,249139.0,120608.0,128531.0,2761320.0,63120.0,146590.0,293545.0,457720.0,268195.0,413135.0,358460.0,385380.0,375175.0,,,,,,,,,,,,,247835.0,11646.0,14153.0,247835.0,13146.0,5662.0,6991.0,11527.0,8157.0,9636.0,2651.0,3586.0,35898.0,38328.0,32789.0,79464.0,248955.0,120504.0,128451.0,248955.0,120504.0,128451.0,248955.0,120504.0,128451.0,248955.0,120504.0,128451.0,248955.0,120504.0,128451.0,248955.0,120504.0,128451.0
35,Flagstaff city,2013,68661.0,34324.0,34337.0,580095.0,50180.0,105755.0,111505.0,39245.0,15275.0,49020.0,32570.0,62555.0,113990.0,580095.0,458050.0,402535.0,55515.0,29825.0,25690.0,15265.0,15265.0,,,72675.0,34105.0,59886.0,6925.0,7715.0,59886.0,6634.0,2760.0,5246.0,2234.0,2367.0,3368.0,645.0,304.0,8375.0,11008.0,4115.0,12830.0,68018.0,33888.0,34130.0,68018.0,33888.0,34130.0,68018.0,33888.0,34130.0,68018.0,33888.0,34130.0,68018.0,33888.0,34130.0,68018.0,33888.0,34130.0
36,Gilbert town,2013,229989.0,116912.0,113077.0,2782390.0,43970.0,119655.0,221140.0,354460.0,223535.0,477485.0,311905.0,549450.0,480785.0,2782390.0,2675365.0,2357815.0,317550.0,218135.0,99415.0,38540.0,38540.0,,,5335.0,63150.0,229270.0,7138.0,6416.0,229270.0,6414.0,2207.0,4933.0,6191.0,6479.0,5851.0,3105.0,3349.0,37210.0,35620.0,39623.0,78288.0,229613.0,116692.0,112921.0,229613.0,116692.0,112921.0,229613.0,116692.0,112921.0,229613.0,116692.0,112921.0,229613.0,116692.0,112921.0,229613.0,116692.0,112921.0
37,Glendale city,2013,234618.0,118809.0,115809.0,2495995.0,41930.0,106795.0,173115.0,341990.0,156675.0,445230.0,332950.0,310630.0,586675.0,2495995.0,2169695.0,1763230.0,406470.0,327890.0,78580.0,266000.0,266000.0,,,6385.0,53915.0,231293.0,29337.0,31599.0,231293.0,30894.0,14171.0,15871.0,15147.0,12728.0,14323.0,4834.0,7289.0,35749.0,25123.0,20980.0,34184.0,232437.0,117414.0,115023.0,232437.0,117414.0,115023.0,232437.0,117414.0,115023.0,232437.0,117414.0,115023.0,232437.0,117414.0,115023.0,232437.0,117414.0,115023.0
